代號,名稱,年月日,100-200 張(比率),200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1101,台泥,2023/01/13,3.4,2.82,1.59,1.06,0.99,58.97
1102,亞泥,2023/01/13,1.75,1.88,1.33,0.76,0.54,79.63
1103,嘉泥,2023/01/13,3.04,3.08,1.4,0.8,1.41,74.42
1104,環泥,2023/01/13,3.43,3.15,2.34,1.44,0.97,70.03
1108,幸福,2023/01/13,1.52,1.35,1.12,1.21,0.7,77.81
1109,信大,2023/01/13,2.57,2.51,3.24,1.42,2.93,74.46
1110,東泥,2023/01/13,0.84,0.98,0.69,0.86,0.16,92.81
1201,味全,2023/01/13,3.59,3.67,1.93,1.85,0.5,60.67
1203,味王,2023/01/13,1.05,1.88,1.78,1.78,1.49,84.85
1210,大成,2023/01/13,2.84,2.96,1.67,0.85,0.88,55.53
1213,大飲,2023/01/13,1.53,3.39,0,1.32,1.58,74.63
1215,卜蜂,2023/01/13,2.73,2.21,1.1,1.19,1.56,56.33
1216,統一,2023/01/13,1.04,1.5,1.24,1.26,1.15,85.88
1217,愛之味,2023/01/13,4.3,3.68,2.12,1.62,2.32,47.54
1218,泰山,2023/01/13,0.96,1.47,1.57,0.97,1.42,84.39
1219,福壽,2023/01/13,2.58,3.02,2.78,1.71,1.93,61.97
1220,台榮,2023/01/13,3.1,5.05,3.01,2.06,2.91,62.18
1225,福懋油,2023/01/13,0.34,2.19,0.84,0.99,1.37,91.08
1227,佳格,2023/01/13,1.8,1.54,1.13,0.46,0.37,67.91
1229,聯華,2023/01/13,3.38,2.7,0.86,0.8,0.58,63.96
1231,聯華食,2023/01/13,3.71,1.45,0.67,0.58,0,63.6
1232,大統益,2023/01/13,1.72,1.27,1.08,0.38,0,74.92
1233,天仁,2023/01/13,5.65,8.13,5.12,2.34,1.07,62.14
1234,黑松,2023/01/13,2.24,3.23,3.36,2.72,2.91,74.72
1235,興泰,2023/01/13,0.57,1.36,1.93,0.46,0.63,92.45
1236,宏亞,2023/01/13,2.18,2.38,0.54,0.59,0.83,78.57
1240,茂生農經,2023/01/13,3,6.49,9.92,14.57,0,43.4
1256,鮮活果汁-KY,2023/01/13,2.37,7.87,5.77,0,5.46,49.41
1259,安心,2023/01/13,2.9,5.12,3.17,1.99,0,66.04
1264,德麥,2023/01/13,2.82,15.06,2.62,7.59,13.96,24.57
1268,漢來美食,2023/01/13,2.84,5.21,5.55,0,0,69.29
1301,台塑,2023/01/13,1.63,1.48,1.08,0.84,0.75,81.68
1303,南亞,2023/01/13,1.73,1.67,1.08,0.73,0.62,82.79
1304,台聚,2023/01/13,2.94,2.48,1.46,0.93,1,60.28
1305,華夏,2023/01/13,3.16,2.66,1.95,0.74,1.26,55.13
1307,三芳,2023/01/13,2.01,2.07,1.16,1.16,0.45,79.66
