,年度,季別,公司代號,公司名稱,股本,股本分級
0,112,1,1101,台泥,73561817,1
1,112,1,1102,亞泥,35459276,1
2,112,1,1103,嘉泥,7747805,2
3,112,1,1104,環泥,6536092,2
4,112,1,1108,幸福,4047380,3
5,112,1,1109,信大,3411589,3
6,112,1,1110,東泥,5720008,2
7,112,1,1201,味全,5060629,2
8,112,1,1203,味王,2400000,3
9,112,1,1210,大成,8947673,2
10,112,1,1213,大飲,566226,5
11,112,1,1215,卜蜂,2947901,3
12,112,1,1216,統一,56820154,1
13,112,1,1217,愛之味,4945134,3
14,112,1,1218,泰山,4999990,3
15,112,1,1219,福壽,3220139,3
16,112,1,1220,台榮,1770779,4
17,112,1,1225,福懋油,2187030,3
18,112,1,1227,佳格,9150897,2
19,112,1,1229,聯華,14801305,1
20,112,1,1231,聯華食,2242333,3
21,112,1,1232,大統益,1599749,4
22,112,1,1233,天仁,905919,5
23,112,1,1234,黑松,4018711,3
24,112,1,1235,興泰,1336293,4
25,112,1,1236,宏亞,1083425,4
26,112,1,1240,茂生農經,385982,5
27,112,1,1256,鮮活果汁-KY,338422,5
28,112,1,1258,其祥-KY,368198,5
29,112,1,1259,安心,323895,5
30,112,1,1264,德麥,370644,5
31,112,1,1268,漢來美食,427237,5
32,112,1,1301,台塑,63657408,1
33,112,1,1303,南亞,79308216,1
34,112,1,1304,台聚,11887635,1
35,112,1,1305,華夏,5810505,2
36,112,1,1307,三芳,3978181,3
37,112,1,1308,亞聚,5937438,2
38,112,1,1309,台達化,3975868,3
39,112,1,1310,台苯,5278698,2
40,112,1,1312,國喬,9266203,2
41,112,1,1313,聯成,13563819,1
42,112,1,1314,中石化,37848502,1
43,112,1,1315,達新,990990,5
44,112,1,1316,上曜,2190580,3
45,112,1,1319,東陽,5914771,2
46,112,1,1321,大洋,2272283,3
47,112,1,1323,永裕,912745,5
48,112,1,1324,地球,751219,5
49,112,1,1325,恆大,852812,5
50,112,1,1326,台化,58611863,1
51,112,1,1336,台翰,788184,5
52,112,1,1337,再生-KY,2689547,3
53,112,1,1338,廣華-KY,838400,5
54,112,1,1339,昭輝,741239,5
55,112,1,1340,勝悅-KY,1529229,4
56,112,1,1341,富林-KY,511393,5
57,112,1,1342,八貫,707846,5
58,112,1,1402,遠東新,53528751,1
59,112,1,1409,新纖,16184093,1
60,112,1,1410,南染,630000,5
61,112,1,1413,宏洲,1321124,4
62,112,1,1414,東和,2200000,3
63,112,1,1416,廣豐,1853422,4
64,112,1,1417,嘉裕,1899419,4
65,112,1,1418,東華,568343,5
66,112,1,1419,新紡,3000413,3
67,112,1,1423,利華,1384000,4
68,112,1,1432,大魯閣,900000,5
69,112,1,1434,福懋,16846646,1
70,112,1,1435,中福,1397801,4
71,112,1,1436,華友聯,972170,5
72,112,1,1437,勤益控,2033713,3
73,112,1,1438,三地開發,912058,5
74,112,1,1439,雋揚,920000,5
75,112,1,1440,南紡,16568159,1
76,112,1,1441,大東,1139000,4
77,112,1,1442,名軒,3662113,3
78,112,1,1443,立益物流,1353430,4
79,112,1,1444,力麗,9573029,2
80,112,1,1445,大宇,1306660,4
